Tweets,Cleaned tweets,Detected aspects,Corresponding sentiment
"spectranet, do not frustrate me, pls dear",spectranet do not frustrate me pls dear,,
deji_re spectranet_ng using spectranet_ng for business during this lockdown is really bad. the internet quality has reduced significantly. this isn't good for business at all,dejire spectranetng using spectranetng for business during this lockdown is really bad the internet quality has reduced significantly this isnt good for business at all,['customer service'],['Negative']
spectranet_ng i have questions,spectranetng i have questions,,
spectranet_ng i just sent the dm,spectranetng i just sent the dm,,
spectranet has refused to send me double data offer bayi 😭,spectranet has refused to send me double data offer bayi ,,
spectranet_ng y'all are really making this remote difficult!!! i am exhausted. 🤦🏽‍♀️,spectranetng yall are really making this remote difficult i am exhausted ,,
"yhe_mmie don't try it , i repeat don't try tizeti is the most unreliable network. for 5 days now, i've not been able to use the internet and they aren't doing a thing about it. customer service, zero.",yhemmie dont try it i repeat dont try tizeti is the most unreliable network for 5 days now ive not been able to use the internet and they arent doing a thing about it customer service zero,"['reliability', 'customer service']","['Positive', 'Positive']"
"jollybobai spectranet_ng i was told they were the best in nigeria. i subscribe for over 100 gb every month and yet, i can't do basic things like join meetings, classes or stream games. everything is just trash. i have to keep explaining why i missed meetings and all of that. nonsense and ingredients.",jollybobai spectranetng i was told they were the best in nigeria i subscribe for over 100 gb every month and yet i cant do basic things like join meetings classes or stream games everything is just trash i have to keep explaining why i missed meetings and all of that nonsense and ingredients,,
spectranet shaaaa 😭,spectranet shaaaa ,,
"spectranet_ng hi, would want to know if am to load my modem with#10,000 i would get the double data, id . please urgent",spectranetng hi would want to know if am to load my modem with10000 i would get the double data id please urgent,,
rihanat_sona lolabnr spectranet_ng solves this problem really,rihanatsona lolabnr spectranetng solves this problem really,,
anti_ratrace tizeti,antiratrace tizeti,,
recharge my spectranet,recharge my spectranet,,
is what's app wilding or it's spectranet?,is whats app wilding or its spectranet,,
fuck you spectranet. i hate you from the bottom of my heart. i still can't browse 😩😩😩,fuck you spectranet i hate you from the bottom of my heart i still cant browse ,,
airtelnigeria globacoms etisalat_care mtnng ntelng spectranet_ng smilecomsng swift4glte does any one actually offers monthly unlimited data without any condition attached? no bandwidth reduction after some certain data cap has been used? hello... i need to know. thanks,airtelnigeria globacoms etisalatcare mtnng ntelng spectranetng smilecomsng swift4glte does any one actually offers monthly unlimited data without any condition attached no bandwidth reduction after some certain data cap has been used hello i need to know thanks,,
i have refreshed my ig several times and restarted my spectranet lol,i have refreshed my ig several times and restarted my spectranet lol,,
spectranet_ng done. thanks for replying,spectranetng done thanks for replying,,
spectranet_ng thanks for the slug like speed tonight!,spectranetng thanks for the slug like speed tonight,['speed'],['Positive']
onibada iiragtid spectranet_ng ntelcare i use ntelcare ntelng... not fantastic for streaming ......,onibada iiragtid spectranetng ntelcare i use ntelcare ntelng not fantastic for streaming,,
tizeti not been working all day. i'm so ducking frustrated,tizeti not been working all day im so ducking frustrated,,
tizeti if a network cannot handle sending a plain mail with no attachment swiftly...it shouldn't be in the data business,tizeti if a network cannot handle sending a plain mail with no attachment swiftlyit shouldnt be in the data business,['customer service'],['Positive']
"macdonald4433 spectranet_ng ipnx, but sometimes it depends on the ping you're getting..",macdonald4433 spectranetng ipnx but sometimes it depends on the ping youre getting,,
"tizeti, your internet is just too bad this evening, too bad!",tizeti your internet is just too bad this evening too bad,,
"stack overflow is down. spectranet is slow. it's in times like this, i contemplate my life and wax philosophical.",stack overflow is down spectranet is slow its in times like this i contemplate my life and wax philosophical,['speed'],['Negative']
"ntelcare next_billionair ntelng seems you've forgotten that this is nigeria ,what sort of data plans are these ? abeg you guys should move to spectranet_ng",ntelcare nextbillionair ntelng seems youve forgotten that this is nigeria what sort of data plans are these abeg you guys should move to spectranetng,,
i really don't know why spectranet takes forever to upload videos both on twitter and whatapp,i really dont know why spectranet takes forever to upload videos both on twitter and whatapp,,
is spectranet mad ?,is spectranet mad,,
herculean_me spectranet_ng let me go and make the request from the treasurer of the house,herculeanme spectranetng let me go and make the request from the treasurer of the house,,
😂😂😂i used to do that. but i can't kill myself. if spectranet fuck up. i'll just go offline. play game or sleep.,i used to do that but i cant kill myself if spectranet fuck up ill just go offline play game or sleep,,
tizeti wifisupport1 please what is happening to your network? i've been unable to connect over 12 hours now. so much inconveniences and pile of work undone. #tizeti o! #wifing o! nejeebbello see your friends on display.,tizeti wifisupport1 please what is happening to your network ive been unable to connect over 12 hours now so much inconveniences and pile of work undone tizeti o wifing o nejeebbello see your friends on display,,
"smile na scam guys, very big scam, buy spectranet.",smile na scam guys very big scam buy spectranet,,
spectranet_ng spectranet_ng my device hasn't worked since morning and your numbers aren't going.,spectranetng spectranetng my device hasnt worked since morning and your numbers arent going,,
mtn & spectranet really sucked me dry last year .,mtn spectranet really sucked me dry last year,,
"myaccessbank yesterday i performed a transaction for internet bill payment for my spectranet. y'all deducted 10,000 naira from my account without subscribing for me. i need a refund asap. please refund my money.",myaccessbank yesterday i performed a transaction for internet bill payment for my spectranet yall deducted 10000 naira from my account without subscribing for me i need a refund asap please refund my money,['customer service'],['Neutral']
looks like spectranet just spectraneting,looks like spectranet just spectraneting,,
spectranet_ng having difficulties accessing your web to make renewals of my data plans. kindly look into it,spectranetng having difficulties accessing your web to make renewals of my data plans kindly look into it,,
"madu_victor please suggest the ideal isp i can switch over to, tizeti is killing my vibe. please",maduvictor please suggest the ideal isp i can switch over to tizeti is killing my vibe please,,
bobbyspage tizeti ki lo de?,bobbyspage tizeti ki lo de,,
spectranet??,spectranet,,
deni_snr spectranet_ng all they can do is just provide us with good service don't think that's too much to ask tho,denisnr spectranetng all they can do is just provide us with good service dont think thats too much to ask tho,['customer service'],['Positive']
ichoptweets onuoha_jessica drjoeabah spectranet_ng tizeti skinnytobi 😂😂 isps in this country is just a thing of toxic relationships. pick the madness you can endure and keep moving 😂 tizeti is the hub for the toxicity tho 😂,ichoptweets onuohajessica drjoeabah spectranetng tizeti skinnytobi  isps in this country is just a thing of toxic relationships pick the madness you can endure and keep moving  tizeti is the hub for the toxicity tho ,,
yemitm442 spectranet_ng sorry about that bro🙂. i also use spectranet_ng and i can play online over here.,yemitm442 spectranetng sorry about that bro i also use spectranetng and i can play online over here,,
spectranet_ng cydm,spectranetng cydm,,
"iamchrisani moldina boycottfrauds tizeti wifisupport1 a month and half now. i started using them august, had to chase them before it started working. during my first month, i had intermittent disruptions and slow connection",iamchrisani moldina boycottfrauds tizeti wifisupport1 a month and half now i started using them august had to chase them before it started working during my first month i had intermittent disruptions and slow connection,['speed'],['Negative']
i'm sad i have to go back to spectranet,im sad i have to go back to spectranet,,
"ace_kyd ipnx hasn't be bad for us, i think i'll give them a 95",acekyd ipnx hasnt be bad for us i think ill give them a 95,,
tizeti please now .. how can someone be paying for internet and not be having internet .. .. 🙆🏾‍♂️🤦🏾‍♂️,tizeti please now how can someone be paying for internet and not be having internet ,,
who uses spectranet?,who uses spectranet,,
i paid spectranet_ng for subscription for a month and this is one week and days after i have not been able to use the data! i have no one to report to but to take the loss like that no policy to regulate my interest but you... #saynotosocialmediabill #notosocialmediabill,i paid spectranetng for subscription for a month and this is one week and days after i have not been able to use the data i have no one to report to but to take the loss like that no policy to regulate my interest but you saynotosocialmediabill notosocialmediabill,,
spectranet and etisalat are moving mad tonight.. why so slow😭,spectranet and etisalat are moving mad tonight why so slow,['speed'],['Negative']
tizeti...,tizeti,,
deuxsvelte gone there they cannot do spectranet oo 😭😭😭😩😩😩,deuxsvelte gone there they cannot do spectranet oo ,,
yemitm442 iam_olusanya spectranet_ng based of #covid19 noni,yemitm442 iamolusanya spectranetng based of covid19 noni,,
rain is affecting spectranet? mad,rain is affecting spectranet mad,,
"i am having terrible experience using spectranet_ng today, poor or no internet is what i am getting. sigh",i am having terrible experience using spectranetng today poor or no internet is what i am getting sigh,,
i'm going to be doing hide and seek with spectranet's 100% data bonus next month..,im going to be doing hide and seek with spectranets 100 data bonus next month,,
wifisupport1 yomivhenza tizeti houseofhannit after so much night vigil and serious prayers it's working oo🤹😁😁😁re: urgent [#284982] but still slow tho... let's work it #tizeti,wifisupport1 yomivhenza tizeti houseofhannit after so much night vigil and serious prayers its working oore urgent 284982 but still slow tho lets work it tizeti,['speed'],['Negative']
spectranet_ng is just so unreliable for me. wish i did enough due diligence before getting into this one .,spectranetng is just so unreliable for me wish i did enough due diligence before getting into this one,,
why is internet so bad tonight ntel - trash - even worse airtel - lost for words,why is internet so bad tonight ntel trash even worse airtel lost for words,,
"tizeti netflix since you people don't want to be doing proper service nah, i have decided to be calling you out in public till you have sense & improve your service response. you must have sense by force!! i have paid since 27th june, 2019 & as tweet it is yet be activated. sent several mails",tizeti netflix since you people dont want to be doing proper service nah i have decided to be calling you out in public till you have sense improve your service response you must have sense by force i have paid since 27th june 2019 as tweet it is yet be activated sent several mails,['customer service'],['Negative']
ned_cray,nedcray,,
yomivhenza tizeti houseofhannit 🤣🤣🤣bro it's not funny i swear dem don break my heart i don tire for them and i just did the payment yesterday,yomivhenza tizeti houseofhannit bro its not funny i swear dem don break my heart i don tire for them and i just did the payment yesterday,,
evaalordiah spectranet_ng is good but also depends on your location. but once you have good coverage you will enjoy it. and they are very generous with bonuses😜,evaalordiah spectranetng is good but also depends on your location but once you have good coverage you will enjoy it and they are very generous with bonuses,['coverage'],['Positive']
spectranet_ng i have been having issues recharging pls what's the best way,spectranetng i have been having issues recharging pls whats the best way,,
spectranet is giving me issue fgs! i'm tired of this country,spectranet is giving me issue fgs im tired of this country,,
wifisupport1 chukymcobi tizeti sent,wifisupport1 chukymcobi tizeti sent,,
lojodamojo wifisupport1 i allowed a visitor test my tizeti wifi so he could decide if he wanted to get the same network for his home. his view is below:,lojodamojo wifisupport1 i allowed a visitor test my tizeti wifi so he could decide if he wanted to get the same network for his home his view is below,,
note the time of download when 'not using' #spectranet left & while 'using' #spectranet right 1hr 22mins difference!!!,note the time of download when not using spectranet left while using spectranet right 1hr 22mins difference,,
"the amount of money airtel has made from me off data purchases 😫😫😫 bought 15gb yesterday, it's just 9 am and i have only 500 mb left spectranet_ng this isn't the time to be unreliable 😭",the amount of money airtel has made from me off data purchases  bought 15gb yesterday its just 9 am and i have only 500 mb left spectranetng this isnt the time to be unreliable ,,
skinnytobi ichoptweets onuoha_jessica drjoeabah spectranet_ng tizeti 😂😂 until you can't use your data to browse,skinnytobi ichoptweets onuohajessica drjoeabah spectranetng tizeti  until you cant use your data to browse,,
lmao. spectranet please na.,lmao spectranet please na,,
"spectranet_ng hello..pls fix your network service on amusan street, puposola road, new oko-oba..it is terrible and frustrating..poor network since yesterday. i have complained repeatedly but your network in this area is always really bad",spectranetng hellopls fix your network service on amusan street puposola road new okoobait is terrible and frustratingpoor network since yesterday i have complained repeatedly but your network in this area is always really bad,['customer service'],['Negative']
"tizeti wifisupport1 how far? we have started again oo, i stopped for 3 months and i had peace.",tizeti wifisupport1 how far we have started again oo i stopped for 3 months and i had peace,,
this spectranet_ng unlimited night browsing is a major scam,this spectranetng unlimited night browsing is a major scam,,
iiragtid onibada spectranet_ng ntelcare ntelng i think smilecomsng... the only reason i stopped the subscription is the cost.. to expensive... but the quality is top notch,iiragtid onibada spectranetng ntelcare ntelng i think smilecomsng the only reason i stopped the subscription is the cost to expensive but the quality is top notch,"['price', 'reliability']","['Negative', 'Positive']"
wifisupport1 tizeti #528011. thank you,wifisupport1 tizeti 528011 thank you,,
i can't view pictures on instagram or whatsapp stories unless i use vpn. spectranet_ng fix this issue,i cant view pictures on instagram or whatsapp stories unless i use vpn spectranetng fix this issue,,
spectranet works best at night. the best part is that i have unlimited data at night. y'all see why i don't sleep. 😂😂😂 isps in nigeria really need to do better. 😔,spectranet works best at night the best part is that i have unlimited data at night yall see why i dont sleep  isps in nigeria really need to do better ,,
ucheugo tizeti,ucheugo tizeti,,
spectranet_ng you people did not give me bonus . it's been straight 3 years non-stop .,spectranetng you people did not give me bonus its been straight 3 years nonstop,,
i didn't once check my spectranet data balance last month. maybe this on site job thing isn't so bad,i didnt once check my spectranet data balance last month maybe this on site job thing isnt so bad,,
"tizeti it's been a week now, this ticket 737938 has been pending and everyone on your side has been quiet.",tizeti its been a week now this ticket 737938 has been pending and everyone on your side has been quiet,,
nittapee spectranet_ng swift4glte see ehn. this one's customer care hardly even responds.,nittapee spectranetng swift4glte see ehn this ones customer care hardly even responds,['customer service'],['Negative']
"jydeskillz wifi provider, like smile and spectranet.",jydeskillz wifi provider like smile and spectranet,['customer service'],['Positive']
"spectranet_ng gave me 15gb for n7k this morning. they are not serious. after this one, am throwing away their modem. nonsense.",spectranetng gave me 15gb for n7k this morning they are not serious after this one am throwing away their modem nonsense,,
spectranet_ng i am not even able to login to check my data balance,spectranetng i am not even able to login to check my data balance,,
wifisupport1 tizeti channelstv 7,wifisupport1 tizeti channelstv 7,,
more questions than answers.,more questions than answers,,
i don't just know why but i don't feel the connection between us any more pele oh... spectranet wifi...oshi ⛳⛳⛳🚩🚩 #redflag,i dont just know why but i dont feel the connection between us any more pele oh spectranet wifioshi  redflag,,
elmatardorr spectranet_ng i mean they'd have some explanations to do... it was a mistake,elmatardorr spectranetng i mean theyd have some explanations to do it was a mistake,,
ms_juwwie ___labi spectranet_ng have you tried to search for fibre one ?,msjuwwie labi spectranetng have you tried to search for fibre one,,
abiolahydee spectranet_ng slekstar several calls have been made,abiolahydee spectranetng slekstar several calls have been made,,
spectranet_ngi understand you cap the speed when u exceed 100g... but this managing i have been managing for a while now is too much.. this is well below 522kb/s🙄🙄,spectranetngi understand you cap the speed when u exceed 100g but this managing i have been managing for a while now is too much this is well below 522kbs,['speed'],['Positive']
eniwealthy wifisupport1 tizeti is down...!!! remote working is impossible...!! please help..!!!,eniwealthy wifisupport1 tizeti is down remote working is impossible please help,,
"spectranet_ng good afternoon, by ace mifi won't come up. it was on last night and i dont know what went wrong",spectranetng good afternoon by ace mifi wont come up it was on last night and i dont know what went wrong,,
chukstobin spectranet_ng el o el,chukstobin spectranetng el o el,,
dadaben_ spectranet_ng also using spectranet,dadaben spectranetng also using spectranet,,
j_anowa spectranet_ng god forbid i ever go back to spectranet. make dem carry their wahala go,janowa spectranetng god forbid i ever go back to spectranet make dem carry their wahala go,,
godoligbo lmao don't useless me. spectranet,godoligbo lmao dont useless me spectranet,,
tizeti good morning tizeti is it true that your warehouse got burnt ?,tizeti good morning tizeti is it true that your warehouse got burnt,,
i get that but spectranet can frustrate when they want to it is terrible i can't even lie. but i get your point tho,i get that but spectranet can frustrate when they want to it is terrible i cant even lie but i get your point tho,,
debbywilly switched to spectranet jejely... airtel nearly killed me 😭😭,debbywilly switched to spectranet jejely airtel nearly killed me ,,
"wifisupport1 tizeti what nonsense update ? i just got home now and i can't use the internet still. i think it's about time i make you guys popular and show the public your level of incompetence. for good 5 days now, you couldn't fix my internet 😡😡😡😡",wifisupport1 tizeti what nonsense update i just got home now and i cant use the internet still i think its about time i make you guys popular and show the public your level of incompetence for good 5 days now you couldnt fix my internet ,,
the network companies in nigeria are not ready to let us work from home. they are just soo poor from mtnng to glocare and this one tizeti is just getting worse everyday.,the network companies in nigeria are not ready to let us work from home they are just soo poor from mtnng to glocare and this one tizeti is just getting worse everyday,,
tizeti wifisupport1 how did i offend you? how can my internet be this shitty?,tizeti wifisupport1 how did i offend you how can my internet be this shitty,,
"kevwekofi denikeoyetunde spectranet_ng efosaaigbe aikmamah una wan try? people be don dear leave una network in droves, we go help amplify am ooo. behave before e go late",kevwekofi denikeoyetunde spectranetng efosaaigbe aikmamah una wan try people be don dear leave una network in droves we go help amplify am ooo behave before e go late,,
spectranet_ng and quickteller most definitely have the worst customer relationship. i wonder how n7000 would just disappear into thin air yet these unfortunate fellows have been sending messages asking me to subscribe again after taking money and not activating same.,spectranetng and quickteller most definitely have the worst customer relationship i wonder how n7000 would just disappear into thin air yet these unfortunate fellows have been sending messages asking me to subscribe again after taking money and not activating same,['customer service'],['Negative']
"this nonsense spectranet_ng does that they call you after your subscription has ended needs to stop. you don't have anything to offer, you're policing me to pay again.",this nonsense spectranetng does that they call you after your subscription has ended needs to stop you dont have anything to offer youre policing me to pay again,,
"bodewrites otisumi... there are other data providers but they are not mobile fibrenet is so good, fast and unlimited but you cannot carry it around is also good but it's not everywhere tizetti, express wifi but they are not everywhere all these mtn and co are🤦🏽‍♂️🤦🏽‍♂️",bodewrites otisumi there are other data providers but they are not mobile fibrenet is so good fast and unlimited but you cannot carry it around is also good but its not everywhere tizetti express wifi but they are not everywhere all these mtn and co are,"['speed', 'customer service']","['Positive', 'Neutral']"
spectranet_ng is it well at home?,spectranetng is it well at home,,
wifisupport1 damolaonline tizeti can you see when i responded?,wifisupport1 damolaonline tizeti can you see when i responded,,
spectranet! free unlimited data from 1am to 7am. thank me later,spectranet free unlimited data from 1am to 7am thank me later,,
wifisupport1 tizeti i will dm you when i am less angry. ✌️,wifisupport1 tizeti i will dm you when i am less angry ,,
vinsoretire akinalabi spectranet will reduce your speed from about 8mbs to 512kb once you used 100gb which is abs...,vinsoretire akinalabi spectranet will reduce your speed from about 8mbs to 512kb once you used 100gb which is abs,['speed'],['Negative']
logged in to my spectranet after a year of nothing and found 10gig free data 💃🏾💃🏾,logged in to my spectranet after a year of nothing and found 10gig free data ,,
spectranet_ng i have not had network for 2 days now. whats happening?,spectranetng i have not had network for 2 days now whats happening,,
neonmarius tizeti wifisupport1 i'll take it that is the reason why you've not texted me since you got back. i'm sorry.,neonmarius tizeti wifisupport1 ill take it that is the reason why youve not texted me since you got back im sorry,,
spectranet_ng please i've been having issues with my internet connection for the last 3 weeks. it's been difficult especially for meeting engagements. kindly resolve this issue. thank you,spectranetng please ive been having issues with my internet connection for the last 3 weeks its been difficult especially for meeting engagements kindly resolve this issue thank you,['customer service'],['Negative']
"tizeti it's been a while seen i bothered you on the tl, let's not return to our acrimonious ways. kindly fix up",tizeti its been a while seen i bothered you on the tl lets not return to our acrimonious ways kindly fix up,,
"spectranet o, ma pa mi 😂",spectranet o ma pa mi ,,
ipnx too.,ipnx too,,
wifisupport1 tizeti your escalation has not fixed my internet. my patient is wearing thin. 😒😡😡😡,wifisupport1 tizeti your escalation has not fixed my internet my patient is wearing thin ,,
"wifisupport1 itueng tizeti netflix kindly activate our account 'laoye abimbola' masha, surulere. paid 27/06/19. support #649947 paystack ref t217238200870816. it has not been activated since 27/6/19. lost 2days already.",wifisupport1 itueng tizeti netflix kindly activate our account laoye abimbola masha surulere paid 270619 support 649947 paystack ref t217238200870816 it has not been activated since 27619 lost 2days already,,
"if only mtn180 mtnng would encourage old subscribers of 8 to 10 years plus while enticing new and potential customers, i'd have had no business with shitty smile or spectranet. imagine allowing new subscribers to get 7gb at 2k! where did we go wrong?",if only mtn180 mtnng would encourage old subscribers of 8 to 10 years plus while enticing new and potential customers id have had no business with shitty smile or spectranet imagine allowing new subscribers to get 7gb at 2k where did we go wrong,['customer service'],['Negative']
how do i change my password spectranet_ng too many people are connected to my router,how do i change my password spectranetng too many people are connected to my router,,
i think this is nice from spectranet_ng thanks. i don't know how many billions i have spent on those red ones and i am not sure what i have gotten back - premier customer🙄.,i think this is nice from spectranetng thanks i dont know how many billions i have spent on those red ones and i am not sure what i have gotten back premier customer,['customer service'],['Negative']
spectranet_ng how far you guys seems to be off today?,spectranetng how far you guys seems to be off today,,
spectranet_ng is there 100% bonus offer today? 😉,spectranetng is there 100 bonus offer today ,,
spectranet_ng which of your outlier on the island can i visit please ?,spectranetng which of your outlier on the island can i visit please,,
spectranet is a criminal organization.,spectranet is a criminal organization,,
sir_jabulani tizeti i don tire for them. i go soon port sef,sirjabulani tizeti i don tire for them i go soon port sef,,
tizeti ehn?,tizeti ehn,,
please who uses spectranet/ntel around chevron/ ikota axis ? how good is the internet ?,please who uses spectranetntel around chevron ikota axis how good is the internet,,
spectranet_ng which one do i download on my phone,spectranetng which one do i download on my phone,,
it has gotte so bad that i have to disconnect one of the two devices i have connected to the internet to be able to load this is completely unacceptable. cc spectranet_ng,it has gotte so bad that i have to disconnect one of the two devices i have connected to the internet to be able to load this is completely unacceptable cc spectranetng,,
spectranet_ng why hasn't my device been delivered?,spectranetng why hasnt my device been delivered,,
johnberrie hmmm. i'd switch to my spectranet.,johnberrie hmmm id switch to my spectranet,,
misteralasiri spectranet_ng abi o. consumersncc ngcomcommission are supposed to be on this matter but you know this is nigeria.,misteralasiri spectranetng abi o consumersncc ngcomcommission are supposed to be on this matter but you know this is nigeria,,
i have same experience too with a tizeti a fiber optic internet service,i have same experience too with a tizeti a fiber optic internet service,['customer service'],['Positive']
"dennisajalie wifisupport1 tizeti this is exactly my issue. my upload speed has been less than 0.5mbps for a long time now. i've complained and they keep dodging the topic. now they want to increase fee. they have family members, by the time people leave them, they'll have sense.",dennisajalie wifisupport1 tizeti this is exactly my issue my upload speed has been less than 05mbps for a long time now ive complained and they keep dodging the topic now they want to increase fee they have family members by the time people leave them theyll have sense,['speed'],['Negative']
zaykassim smilecomsng mtnng i use spectranet unlimited...it's fair enough in terms of cost but service is 6/10 if not 5,zaykassim smilecomsng mtnng i use spectranet unlimitedits fair enough in terms of cost but service is 610 if not 5,"['price', 'customer service']","['Positive', 'Negative']"
"wifisupport1 tizeti i feel really bad for you guys. all you guys know how to do is say sorry and organize a visit by technical support. smh. at this rate, won't be surprised to wake up one morning and hear you guys have packed up",wifisupport1 tizeti i feel really bad for you guys all you guys know how to do is say sorry and organize a visit by technical support smh at this rate wont be surprised to wake up one morning and hear you guys have packed up,,
tizeti after singing their praise for a time...my eyes now look to other reliable data options...it's beginning to be a very terrible experience...one calls/emails customer support daily for various issues,tizeti after singing their praise for a timemy eyes now look to other reliable data optionsits beginning to be a very terrible experienceone callsemails customer support daily for various issues,"['reliability', 'customer service']","['Negative', 'Negative']"
"myson155 frankdonga_ tizeti wifisupport1 you guys come and explain urself here oh, i cannot be paying 45k yearly. iffa hear pim after i complete 1 year eh, all the customers you got through me are gone, i will kuku call you out on twitter before i port, i have all the internet in my house.",myson155 frankdonga tizeti wifisupport1 you guys come and explain urself here oh i cannot be paying 45k yearly iffa hear pim after i complete 1 year eh all the customers you got through me are gone i will kuku call you out on twitter before i port i have all the internet in my house,['customer service'],['Negative']
yemiadegun spectranet_ng baba wants to download money heist 4🙈🙈🙈🙈😂😂😂,yemiadegun spectranetng baba wants to download money heist 4,,
i honestly do not know why people still patronize tizeti.,i honestly do not know why people still patronize tizeti,,
"ms_juwwie dejokecarew that's y i love spectranet, they do that atleast 3times a week",msjuwwie dejokecarew thats y i love spectranet they do that atleast 3times a week,,
"spectranet's ogbanje has kicked in, can tweet but can't stream movies. oshi",spectranets ogbanje has kicked in can tweet but cant stream movies oshi,,
"we will miss ""double data"" though! 😊 but what's the point of getting double the amount of data i pay for, if i'm not able to use the data at all?! all smilecomsng need to do, to obliterate spectranet_ng is introduce ""double data"" if customers recharge on a particular day 😎",we will miss double data though  but whats the point of getting double the amount of data i pay for if im not able to use the data at all all smilecomsng need to do to obliterate spectranetng is introduce double data if customers recharge on a particular day ,['customer service'],['Negative']
hi spectranet_ng i got the mail for the double data offer and promptly renewed this account around 10am but the bonus data is still missing from my portal please rectify as soon as possible,hi spectranetng i got the mail for the double data offer and promptly renewed this account around 10am but the bonus data is still missing from my portal please rectify as soon as possible,['customer service'],['Negative']
"0_frodo spectranet_ng as usual, it always end in tears with them.",0frodo spectranetng as usual it always end in tears with them,,
spectranet has been trash lately,spectranet has been trash lately,,
spectranet_ng 's network can frustrate somebody's life. how can youtube be the only website opening properly?? 😭,spectranetng s network can frustrate somebodys life how can youtube be the only website opening properly ,,
my worst business decision for 2019 by far is getting a spectranet_ng router to do business! it's one heartache to another! i am tired!,my worst business decision for 2019 by far is getting a spectranetng router to do business its one heartache to another i am tired,['customer service'],['Negative']
spectranet_ng is the leader of the whatsapp group,spectranetng is the leader of the whatsapp group,,
"spectranet_ng how far una, your network has been consistently terrible for days now. biko fix up its frustrating",spectranetng how far una your network has been consistently terrible for days now biko fix up its frustrating,,
"here we go, public school students in oyo now have 24hrs access to internet! seyiamakinde thecableng ipnxtweet...",here we go public school students in oyo now have 24hrs access to internet seyiamakinde thecableng ipnxtweet,,
finally found a buyer for my spectranet. ka ma pade mo. o di gbere o di gbo,finally found a buyer for my spectranet ka ma pade mo o di gbere o di gbo,,
spectranet_ng why nah? 😭😭😭,spectranetng why nah ,,
oloriburuku ni spectranet,oloriburuku ni spectranet,,
"yo spectranet_ng why does it keep taking me to your homepage even after i have paid??,it's been days now",yo spectranetng why does it keep taking me to your homepage even after i have paidits been days now,,
"ripples143 wifisupport1 tizeti see them. they know what they are doing. they know. until you complain before they correct this. this people are scammers sha. nigeria, which way? it has been hovering around 300kb since woke up. this life no balance.",ripples143 wifisupport1 tizeti see them they know what they are doing they know until you complain before they correct this this people are scammers sha nigeria which way it has been hovering around 300kb since woke up this life no balance,,
elmatardorr spectranet_ng 🤣🤣🤣,elmatardorr spectranetng ,,
tizeti internet has been down for 3 days now please and please fix up,tizeti internet has been down for 3 days now please and please fix up,,
i'm in a toxic relationship with spectranet_ng and i want out!!!😫,im in a toxic relationship with spectranetng and i want out,,
abi it's this oloriburuku spectranet?,abi its this oloriburuku spectranet,,
can't believe i have spent over 12hrs and still counting just to download this ghost recon: wildlands with file size of 67gb 🤦🏽‍♂️... spectranet 👎🏾,cant believe i have spent over 12hrs and still counting just to download this ghost recon wildlands with file size of 67gb  spectranet ,,
tizeti wifi na just night plan in disguise of unlimited wifi.,tizeti wifi na just night plan in disguise of unlimited wifi,,
mannimoor is your spectranet working?,mannimoor is your spectranet working,,
to pay for dstv or just subscribe for my spectranet? 🤔,to pay for dstv or just subscribe for my spectranet ,,
aniruoje spectranet_ng yea you do. but please ensure the signal is generally ok in your area before you purchase.,aniruoje spectranetng yea you do but please ensure the signal is generally ok in your area before you purchase,,
dear spectranet_ng kindly reply dm,dear spectranetng kindly reply dm,,
marioo__q airtelnigeria and spectranet_ng,mariooq airtelnigeria and spectranetng,,
talinacassy spectranet_ng same with me,talinacassy spectranetng same with me,,
nokia partnered with nigerian isp tizeti to bring fixed wireless access (fwa) services to more than 1 million residential and enterprise customers in the country,nokia partnered with nigerian isp tizeti to bring fixed wireless access fwa services to more than 1 million residential and enterprise customers in the country,['customer service'],['Positive']
someone please subscribe my spectranet for me abeg.,someone please subscribe my spectranet for me abeg,,
spectranet_ng those of us using your service in this area are really suffering...spoke to one of your engineers some days ago and he explained the issue clearly. your management should look into this issue. it's bad,spectranetng those of us using your service in this area are really sufferingspoke to one of your engineers some days ago and he explained the issue clearly your management should look into this issue its bad,['customer service'],['Negative']
wifisupport1 tizeti which attention? did you collect my details? werey in disguise 🤡,wifisupport1 tizeti which attention did you collect my details werey in disguise ,,
"dear spectranet i'll come back when i wanna come back, stop disturbing me 😤 yours i don't giva shittsly donsokiz.",dear spectranet ill come back when i wanna come back stop disturbing me  yours i dont giva shittsly donsokiz,,
tizeti tizeti_ what a terrible internet service provider do you offer? the worst part is you have the most terrible customer service. imagine my office that is heavily relying on internet to carry its daily operations & tizeti has been down since 15th of oct. thread,tizeti tizeti what a terrible internet service provider do you offer the worst part is you have the most terrible customer service imagine my office that is heavily relying on internet to carry its daily operations tizeti has been down since 15th of oct thread,['customer service'],['Negative']
spectranet genuinely left the chat,spectranet genuinely left the chat,,
"i felt mobile network internet could not handle the rigours of my new smart appliances and devices, so i paid tizeti n50,000 for installation and one month subscription to their wifi service. can you tell which of the speed tests below is mobile and which is wifi? #wifi.com.ng",i felt mobile network internet could not handle the rigours of my new smart appliances and devices so i paid tizeti n50000 for installation and one month subscription to their wifi service can you tell which of the speed tests below is mobile and which is wifi wificomng,"['speed', 'customer service']","['Neutral', 'Negative']"
learning. this is how you learn and grow.,learning this is how you learn and grow,,
